,user_id,test_group,total_spend,total_wins_spend
2869,241326142,P,1.0216928009742423,1.0216928009742423
2884,241058974,P,64.86000000000001,64.86000000000001
2886,295890310,C,2.98,2.98
2890,288617330,C,60.24908567266259,60.24908567266259
2892,245814873,C,16.96,16.96
2896,250547894,P,2.7410757204980505,2.7410757204980505
2911,292238540,C,3.594584434110444,3.594584434110444
2919,297556521,C,57.70527629023405,57.70527629023405
2941,288438550,C,1293.4292882307545,1242.4792882307545
2962,251310284,C,15.79526657823362,15.79526657823362
2999,249641194,C,23.95,23.95
3012,240652644,C,24.89,24.89
3013,253781643,C,10.58632352863336,10.58632352863336
3032,248674743,P,2.98,2.98
3059,250107904,C,21.98,21.98
3065,245705533,P,12.96,12.96
3066,246905814,C,1.99,1.99
3077,289170490,P,20.919999999999998,20.919999999999998
3080,245341472,C,6.93,6.93
3098,250392062,C,2.99,2.99
3099,294672811,C,74.67282753333599,74.67282753333599
3102,243394883,P,16.96,16.96
3109,242172173,C,5.98,5.98
3110,242864112,C,2.99,2.99
3143,287734160,C,2.9231517013762605,2.9231517013762605
3145,250464724,C,2.0867377040400195,2.0867377040400195
3167,251044634,C,5.121494367895722,5.121494367895722
3221,249223564,C,46.769999999999996,46.769999999999996
3223,252953914,P,0.99,0.99
3226,251336993,P,9.97,9.97
3228,300485771,C,4.329684948902461,4.329684948902461
3229,245416012,C,3.98,3.98
3234,253501643,P,4.692507709983673,4.692507709983673
3235,241463463,C,5.464925267737766,5.464925267737766
3242,244541084,C,14.910000000000002,14.910000000000002
3246,296829590,C,19.34331873094815,19.34331873094815
3249,291993521,C,237.18186617042605,237.18186617042605
3258,247899942,C,8.95,8.95
3271,289218731,C,2912.0200000000004,1918.0206472999666
3283,251562074,P,12.067808845280176,12.067808845280176
3291,294036381,C,58.850000000000016,58.850000000000016
3293,250509552,C,24.979999999999997,24.979999999999997
3315,293410121,C,2.022714729559898,2.022714729559898
3330,244908712,C,85.95893851657155,85.95893851657155
3336,247348183,C,34.79354700950429,34.79354700950429
3340,248969222,C,28.910000000000004,28.910000000000004
3383,292875311,C,100.66,100.66
3393,288745541,C,79.98,79.98
3400,243768924,C,12.95,12.95
3413,249625983,P,0.99,0.99
3430,245879464,P,3.9800000000000004,3.9800000000000004
3444,291260141,C,4.98,4.98
3465,246473653,C,12.840377923082414,12.840377923082414
3469,251219373,C,6.092500703689945,6.092500703689945
3478,250156144,C,61.92,61.92
3516,243807893,C,18.430357197045993,18.430357197045993
3517,241346044,P,2.99,2.99
3535,296411321,C,7.93,7.93
3545,288648831,P,98.71572654528586,98.71572654528586
3554,242164622,C,64.63130828839466,64.63130828839466
3602,290088940,C,9.99,9.99
3606,288622431,C,11.247166461133826,11.247166461133826
3614,245565172,P,25.18428106141991,25.18428106141991
3615,242842802,C,20.085903343026718,20.085903343026718
3624,244216794,C,4.97,4.97
3641,245013363,C,13.96,13.96
3643,250138672,C,30.37712754383594,30.37712754383594
3645,288032110,C,16.163207363356616,16.163207363356616
3651,246092493,P,8.96,8.96
3658,247020512,C,4.99,4.99
3662,290480140,P,7.95,7.95
3664,248634302,C,56.52938274376741,56.52938274376741
3667,290518580,P,10.036793712092127,10.036793712092127
3670,240648434,C,0.9399397671251272,0.9399397671251272
3672,288409510,C,6.171357776143095,6.171357776143095
3675,248579824,C,43.90000000000001,43.90000000000001
3677,248376724,P,10.439186498093136,10.439186498093136
3683,247334012,P,2.98,2.98
3689,288756310,C,637.0359864356353,599.2593076190774
3695,291565111,P,0.99,0.99
3696,245832062,C,4.99,4.99
3697,241437554,C,6.615068676745931,6.615068676745931
3699,244499922,C,3.9800000000000004,3.9800000000000004
3703,290861350,C,105.70401290027718,105.70401290027718
3730,245685364,C,47.536675707857334,47.536675707857334
3737,289337501,C,86.50408953353707,86.50408953353707
3738,292120650,C,33.809999999999995,33.809999999999995
3741,246364432,C,1.98,1.98
3745,292680290,C,107.21306653194489,107.21306653194489
3757,247761303,C,0.99,0.99
3759,291830551,P,134.90999999999997,134.90999999999997
3774,245056813,C,22.06582129008471,22.06582129008471
3795,247603683,C,16.92,16.92
3809,291043830,P,15.271230329991369,15.271230329991369
3824,247583463,P,1.99,1.99
3826,239657972,C,18.401619114936324,18.401619114936324
3827,246286874,C,13.437834167444759,13.437834167444759
3830,246952753,C,20.85,20.85
3833,287960721,C,29.943342916941894,29.943342916941894
3834,241585754,C,1275.7200000000003,1072.9700000000003
3845,289381830,C,75.66388104726693,75.66388104726693
3858,288916071,C,54.00432824401507,54.00432824401507
3861,294076791,C,5.251267108644622,5.251267108644622
3877,297016271,C,69.96,69.96
3883,237767453,C,72.81,72.81
3898,241142704,C,143.73000000000002,143.73000000000002
3899,239595022,C,3.7680630114618285,3.7680630114618285
3910,247215822,P,25.91,25.91
3916,295231791,C,123.8,123.8
3954,248789073,P,17.91,17.91
3962,289696090,P,20.677754396976773,20.677754396976773
3963,290666391,P,38.983263375241314,38.983263375241314
3975,240195584,C,4.99,4.99
3978,291510850,P,4.99,4.99
3981,289577780,P,110.67999999999999,110.67999999999999
3992,252683533,C,9.73758982771943,9.73758982771943
3993,243581983,C,33.67947096287348,33.67947096287348
3994,296736600,P,3.6753000666251925,3.6753000666251925
3996,288526450,C,2.736179630636456,2.736179630636456
4015,241199433,C,2.99,2.99
4023,244185032,C,25.10012324478544,25.10012324478544
4028,291469511,C,20.92,20.92
4043,248982484,C,2.99,2.99
4052,242263892,C,16.233506511885363,16.233506511885363
4059,244902014,C,5.37997261806051,5.37997261806051
4078,289953801,P,7.9399999999999995,7.9399999999999995
4079,246457653,C,2.1722954483496,2.1722954483496
4084,289227310,C,0.9780915048197694,0.9780915048197694
4087,247591974,C,2.0673211805524296,2.0673211805524296
4096,290453421,C,27.879999999999995,27.879999999999995
4109,242287212,C,4.99,4.99
4124,242925883,C,451.05895914595123,451.05895914595123
4126,240766472,C,20.8,20.8
4136,246535424,C,9.99,9.99
4140,244013444,C,8.466716858369796,8.466716858369796
4175,243301363,C,14.98,14.98
4184,246520042,C,37.910000000000004,37.910000000000004
4185,250598404,C,0.99,0.99
4186,248345072,C,39.416163319667774,39.416163319667774
4201,294730611,P,267.38000000000005,267.38000000000005
4204,296583511,P,3.627674328499399,3.627674328499399
4239,241233502,C,13.920000000000002,13.920000000000002
4244,249450084,C,2.9699999999999998,2.9699999999999998
4248,292450770,P,1.0624582179352497,1.0624582179352497
4259,244279734,P,12.97,12.97
4284,246506884,C,19.337714914239992,19.337714914239992
